"","Variable","q_value","Type"
"1","Anti.infective",1,"Chi-Square"
"2","Functional.bowel.finding",0.00840893399878615,"Chi-Square"
"3","Specific.food.allergy",1,"Chi-Square"
"4","Dietary.regime",1,"Chi-Square"
"5","Other.GI.symptoms..M3.",1,"Chi-Square"
"6","GI.symptoms.within.3.months..M3.",3.11100531715566e-05,"Chi-Square"
"7","Biological.sex",0.00214023034619388,"Chi-Square"
"8","GI.issues.two.weeks.ago..M3.",1,"Chi-Square"
"9","GI.issues.one.month.ago..M3.",1,"Chi-Square"
"10","GI.issues.two.months.ago..M3.",1,"Chi-Square"
"11","GI.issues.three.months.ago..M3.",1,"Chi-Square"
"12","Gluten.allergy",1,"Chi-Square"
"13","Non.celiac.gluten.sensitivity",0.115157152742063,"Chi-Square"
"14","Diet.during.infancy",1,"Chi-Square"
"15","Lactose.intolerance",0.550170491796899,"Chi-Square"
"16","Multivitamin",1,"Chi-Square"
"17","Shares.bed.with.pet",1,"Chi-Square"
"18","Born.prematurely",1,"Chi-Square"
"19","Flu.shot.in.the.last..M3.",1,"Chi-Square"
"20","Dietary.restrictions..M3.",0.0122295626096659,"Chi-Square"
"21","Dietary.supplement",0.00156199319530952,"Chi-Square"
"22","Toilet.trained",1,"Chi-Square"
"23","Diarrhea",1,"Chi-Square"
"24","Constipation",1,"Chi-Square"
"25","Flu.like.symptoms",0.889670067792586,"Chi-Square"
"26","Toilet.cover..M3.",1,"Chi-Square"
"27","Stool.sample.challenges.explained..M3.",1,"Chi-Square"
"28","Host.interaction.with.pets",1,"Chi-Square"
"29","Frequency.of.interaction.with.pet.s.",1,"Chi-Square"
"30","Most.recent.GI.episode.symptoms..M3.",1,"Chi-Square"
"31","GI.issues.this.week..M3.",1.02042801432083e-11,"Chi-Square"
"32","Stool.sample.collection.method..M3.",0.266067543962849,"Chi-Square"
"33","Problems.collecting.stool.sample..M3.",1,"Chi-Square"
"34","Recently.ill",1,"Chi-Square"
"35","Season",1,"Chi-Square"
"36","Fever",0.266067543962849,"Chi-Square"
"37","Travel.to.country",1,"Chi-Square"
"38","Other.symptoms.this.week..M3.",0.00276115208576476,"Chi-Square"
"39","Small.pet.rodent",1,"Chi-Square"
"40","Minimum.time.since.antibiotics",0.599475089520995,"wilcox"
"41","Stool.frequency",0.477027290963066,"wilcox"
"42","Whole.grain..consumption.frequency.",0.0928601708935343,"wilcox"
"43","Fermented.vegetable..consumption.frequency.",0.827725829920295,"wilcox"
"44","Dairy..consumption.frequency.",0.0178634040987061,"wilcox"
"45","Fruit..consumption.frequency.",0.0340803826530162,"wilcox"
"46","Meals.prepared.at.home..consumption.frequency.",0.790179871337146,"wilcox"
