"Variable","FactorClass","TotalN","R2","pvalue"
"Most.recent.GI.episode.symptoms..M3.","categorical",120,0.424068859226888,0.001
"Red.meat..consumption.frequency.","categorical",60,0.0584584187432901,0.002
"Stool.frequency","categorical",378,0.0461673106971522,0.001
"Toilet.cover..M3.","categorical",215,0.0308158100980516,0.001
"Number.of.roommates","numeric",378,0.0197196891003797,0.001
"Number.of.pet.fish","numeric",378,0.0181340248008817,0.001
"LR10.prediction..M3.","categorical",153,0.0167665729441619,0.002
"Functional.bowel.finding","categorical",375,0.0163294421878202,0.001
"LR10.probability.not.ASD..M3.","numeric",153,0.0162111592660381,0.003
"LR10.probability.ASD..M3.","numeric",153,0.0162111592660381,0.003
"LR5.probability.ASD..M3.","numeric",153,0.0154328525175432,0.003
"LR5.probability.not.ASD..M3.","numeric",153,0.0154328525175432,0.003
"Age..years.","numeric",378,0.014526219709815,0.001
"LR5.prediction..M3.","categorical",153,0.0144007692435136,0.004
"Seafood..consumption.frequency.","categorical",375,0.0128926910610931,0.001
"Number.of.pet.cats","numeric",378,0.0127186148732424,0.001
"Olive.oil.used.in.cooking..M3.","categorical",378,0.011966252387575,0.001
"Fruit..consumption.frequency...longitudinal.","categorical",363,0.0116519507305677,0.001
"Number.of.pet.reptiles","numeric",378,0.0108502746620047,0.001
"Minimum.time.since.antibiotics","numeric",378,0.0108301480182348,0.001
"LR6.prediction..M3.","categorical",153,0.0106732910083396,0.032
"LR6.probability.ASD..M3.","numeric",153,0.0105627394954323,0.038
"LR6.probability.not.ASD..M3.","numeric",153,0.0105627394954323,0.038
"Vitamin.D..consumption.frequency.","categorical",378,0.0104763711426427,0.001
"Sweetened.drink..consumption.frequency.","categorical",375,0.010352985742473,0.001
"Meals.prepared.at.home..consumption.frequency.","categorical",378,0.00991755482298533,0.001
"Restaurant.prepared.meals..consumption.frequency.","categorical",375,0.00990704089372779,0.001
"Vegetable..consumption.frequency.","categorical",378,0.00980040901134901,0.001
"GI.symptoms.within.3.months..M3.","categorical",378,0.00967078322538468,0.001
"Number.of.pet.dogs","numeric",378,0.00961192951517508,0.001
"Fruit..consumption.frequency.","categorical",378,0.00937901555388395,0.001
"Biological.sex","categorical",378,0.00903713340003086,0.001
"Probiotic..consumption.frequency.","categorical",378,0.0087749139530086,0.001
"Number.of.pet.horses","numeric",378,0.00849500938588271,0.001
"Dietary.restrictions..M3.","categorical",378,0.00845556333878339,0.002
"Other.symptoms.this.week..M3.","categorical",378,0.00822843728479403,0.001
"Recent.anxiety..caretaker.reported.","categorical",363,0.00820335377336167,0.018
"Sugary.food..consumption.frequency.","categorical",378,0.0081780786804226,0.001
"Dairy..consumption.frequency.","categorical",378,0.00814525604777465,0.001
"Dietary.supplement","categorical",318,0.00811806063350555,0.001
"Whole.grain..consumption.frequency.","categorical",375,0.00785200022695062,0.001
"Lactose.intolerance","categorical",378,0.00777621298563056,0.001
"Fermented.vegetable..consumption.frequency.","categorical",378,0.00749048730143195,0.002
"Toilet.trained","categorical",363,0.00744650647980931,0.001
"Vitamin.B.complex.supplement..consumption.frequency.","categorical",378,0.00715756634827074,0.002
"GI.issues.this.week..M3.","categorical",378,0.00710300179616986,0.001
"Ready.to.eat.meals..consumption.frequency.","categorical",378,0.00670686447082003,0.004
"Vegetable..consumption.frequency...longitudinal.","categorical",363,0.00620773205179196,0.006
"Dietary.fat.and.oil..consumption.frequency...longitudinal.","categorical",363,0.00613267641924231,0.005
"Meats.and.seafood..consumption.frequency...longitudinal.","categorical",363,0.00570743360990456,0.006
"Starchy.food..consumption.frequency...longitudinal.","categorical",363,0.00507001538142848,0.013
