"","A","N"
"Asian race",10.3896103896104,10.3896103896104
"Asian race & Middle Eastern race",1.2987012987013,1.2987012987013
"Asian race & Unknown racial group",1.2987012987013,1.2987012987013
"Caucasian",67.5324675324675,67.5324675324675
"Caucasian & Asian race",1.2987012987013,1.2987012987013
"Caucasian & Hispanic",2.5974025974026,2.5974025974026
"Caucasian & Indian (subcontinent) race",1.2987012987013,1.2987012987013
"Hispanic",5.19480519480519,5.19480519480519
"Hispanic & African race",1.2987012987013,1.2987012987013
"Indian (subcontinent) race",1.2987012987013,1.2987012987013
"Indian race",2.5974025974026,2.5974025974026
"Unknown racial group",3.8961038961039,3.8961038961039
