,x
Host.disease.status,1.1e-99
Functional.bowel.finding,1.2e-09
Specific.food.allergy,2.0e-02
Dietary.regime,1.1e-02
GI.symptoms.within.3.months..M3.,1.2e-16
Biological.sex,7.7e-11
GI.issues.this.week..M3.,1.9e-11
Gluten.allergy,1.4e-02
Non.celiac.gluten.sensitivity,9.8e-06
Whole.grain..consumption.frequency.,6.7e-03
Dairy..consumption.frequency.,1.4e-06
Fruit..consumption.frequency.,3.3e-09
Meals.prepared.at.home..consumption.frequency.,4.8e-03
Ready.to.eat.meals..consumption.frequency.,1.7e-02
Vegetable..consumption.frequency.,1.6e-07
Lactose.intolerance,1.0e-04
Probiotic..consumption.frequency.,4.4e-08
Dietary.restrictions..M3.,1.1e-09
Dietary.supplement,1.8e-11
Additional.info.affecting.microbiome..M3.,2.8e-11
Vitamin.B.complex.supplement..consumption.frequency.,2.0e-09
Vitamin.D..consumption.frequency.,6.9e-10
LR6.prediction..M3.,1.8e-16
LR10.prediction..M3.,4.9e-16
LR5.prediction..M3.,3.4e-18
Toilet.trained,4.1e-03
Other.symptoms.this.week..M3.,4.8e-02
Recent.anxiety..caretaker.reported.,2.6e-03
Meats.and.seafood..consumption.frequency...longitudinal.,4.0e-02
Vegetable..consumption.frequency...longitudinal.,1.6e-05
Fruit..consumption.frequency...longitudinal.,3.5e-05
Toilet.cover..M3.,1.2e-03
Dietary.restrictions.details..M3.,1.0e-07
Most.recent.GI.episode.symptoms..M3.,9.1e-05
phenotype,1.1e-99
