"","x"
"1","Functional.bowel.finding"
"2","GI.symptoms.within.3.months..M3."
"3","Biological.sex"
"4","Dietary.restrictions..M3."
"5","Dietary.supplement"
"6","GI.issues.this.week..M3."
"7","Other.symptoms.this.week..M3."
"8","Recent.anxiety..caretaker.reported."
"9","Starchy.food..consumption.frequency...longitudinal."
"10","Dairy..consumption.frequency...longitudinal."
"11","Vegetable..consumption.frequency...longitudinal."
"12","Fruit..consumption.frequency...longitudinal."
"13","Whole.grain..consumption.frequency."
"14","Dairy..consumption.frequency."
"15","Fruit..consumption.frequency."
"16","Vegetable..consumption.frequency."
"17","Probiotic..consumption.frequency."
"18","Vitamin.B.complex.supplement..consumption.frequency."
"19","Vitamin.D..consumption.frequency."
