"","Variable","q_value","Type"
"1","Anti.infective",1,"Chi-Square"
"2","Functional.bowel.finding",0.00747460799892102,"Chi-Square"
"3","Specific.food.allergy",1,"Chi-Square"
"4","Dietary.regime",1,"Chi-Square"
"5","Other.GI.symptoms..M3.",1,"Chi-Square"
"6","GI.symptoms.within.3.months..M3.",2.79990478544009e-05,"Chi-Square"
"7","Biological.sex",0.00191091995195882,"Chi-Square"
"8","GI.issues.two.weeks.ago..M3.",1,"Chi-Square"
"9","GI.issues.one.month.ago..M3.",1,"Chi-Square"
"10","GI.issues.two.months.ago..M3.",1,"Chi-Square"
"11","GI.issues.three.months.ago..M3.",1,"Chi-Square"
"12","Gluten.allergy",1,"Chi-Square"
"13","Non.celiac.gluten.sensitivity",0.101338294413015,"Chi-Square"
"14","Diet.during.infancy",1,"Chi-Square"
"15","Lactose.intolerance",0.481399180322286,"Chi-Square"
"16","Multivitamin",1,"Chi-Square"
"17","Shares.bed.with.pet",1,"Chi-Square"
"18","Born.prematurely",1,"Chi-Square"
"19","Flu.shot.in.the.last..M3.",1,"Chi-Square"
"20","Dietary.restrictions..M3.",0.0108184592316275,"Chi-Square"
"21","Dietary.supplement",0.00140040769234647,"Chi-Square"
"22","Toilet.trained",1,"Chi-Square"
"23","Diarrhea",1,"Chi-Square"
"24","Constipation",1,"Chi-Square"
"25","Flu.like.symptoms",0.773626145906597,"Chi-Square"
"26","Toilet.cover..M3.",1,"Chi-Square"
"27","Host.interaction.with.pets",1,"Chi-Square"
"28","GI.issues.this.week..M3.",1.02042801432083e-11,"Chi-Square"
"29","Stool.sample.collection.method..M3.",0.266067543962849,"Chi-Square"
"30","Problems.collecting.stool.sample..M3.",1,"Chi-Square"
"31","Recently.ill",1,"Chi-Square"
"32","Season",1,"Chi-Square"
"33","Fever",0.266067543962849,"Chi-Square"
"34","Travel.to.country",1,"Chi-Square"
"35","Other.symptoms.this.week..M3.",0.00276115208576476,"Chi-Square"
"36","Small.pet.rodent",1,"Chi-Square"
"37","Minimum.time.since.antibiotics",0.573410955193996,"wilcox"
"38","Stool.frequency",0.456286973964672,"wilcox"
"39","Whole.grain..consumption.frequency.",0.0888227721590328,"wilcox"
"40","Fermented.vegetable..consumption.frequency.",0.791737750358543,"wilcox"
"41","Dairy..consumption.frequency.",0.0170867343552841,"wilcox"
"42","Fruit..consumption.frequency.",0.0325986268854938,"wilcox"
"43","Meals.prepared.at.home..consumption.frequency.",0.75582422475727,"wilcox"
"44","Ready.to.eat.meals..consumption.frequency.",0.456286973964672,"wilcox"
"45","Meat..consumption.frequency.",0.69526430682369,"wilcox"
"46","Olive.oil.used.in.cooking..M3.",0.984068374672388,"wilcox"
"47","Seafood..consumption.frequency.",0.147731290994952,"wilcox"
"48","Sweetened.drink..consumption.frequency.",0.246088111462393,"wilcox"
"49","Vegetable..consumption.frequency.",0.169526955988884,"wilcox"
"50","Restaurant.prepared.meals..consumption.frequency.",0.573404140759881,"wilcox"
"51","Sugary.food..consumption.frequency.",0.791737750358543,"wilcox"
"52","Age..months.",0.147731290994952,"wilcox"
"53","Probiotic..consumption.frequency.",0.000663858318723687,"wilcox"
"54","Vitamin.B.complex.supplement..consumption.frequency.",0.0104726098435862,"wilcox"
"55","Vitamin.D..consumption.frequency.",0.0325986268854938,"wilcox"
"56","Age..years.",0.147731290994952,"wilcox"
"57","Gestational.age",1,"wilcox"
"58","Red.meat..consumption.frequency.",0.573410955193996,"wilcox"
"59","Recent.anxiety..caretaker.reported.",0.019825,"phenotypeTwo-way Mixed repeated measures Anova"
"60","Recent.anxiety..caretaker.reported.",0.541071428571429,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"61","Recent.anxiety..caretaker.reported.",0.575,"phenotype:Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
"62","Starchy.food..consumption.frequency...longitudinal.",0.133333333333333,"phenotypeTwo-way Mixed repeated measures Anova"
"63","Starchy.food..consumption.frequency...longitudinal.",0.133333333333333,"Within.study.sampling.dateTwo-way Mixed repeated measures Anova"
