,x
Functional.bowel.finding,1.8e-07
Specific.food.allergy,4.1e-02
Dietary.regime,6.6e-03
GI.symptoms.within.3.months..M3.,6.6e-14
Biological.sex,1.2e-08
GI.issues.this.week..M3.,3.0e-10
Non.celiac.gluten.sensitivity,2.4e-04
Lactose.intolerance,2.3e-03
Dietary.restrictions..M3.,3.7e-07
Dietary.supplement,5.7e-09
LR6.prediction..M3.,2.2e-17
Toilet.trained,1.4e-02
Other.symptoms.this.week..M3.,1.5e-02
Recent.anxiety..caretaker.reported.,8.2e-04
Toilet.cover..M3.,9.0e-04
Most.recent.GI.episode.symptoms..M3.,1.6e-04
