"","testvar","category","A","N","chisq_p"
"1","Dietary.supplement","FALSE",63,120,2.10547829962929e-10
"2","Dietary.supplement","TRUE",96,39,2.10547829962929e-10
"3","Dietary.regime","Omnivorous diet",126,159,0.00012540576968336
"4","Dietary.regime","Omnivorous/avoids red meat diet",30,18,0.00012540576968336
"5","Dietary.regime","Pescetarian diet",6,0,0.00012540576968336
"6","Dietary.regime","Vegan diet",9,0,0.00012540576968336
"7","Dietary.regime","Vegetarian diet",18,12,0.00012540576968336
"8","Multivitamin","FALSE",63,93,0.00244765757262979
"9","Multivitamin","TRUE",126,96,0.00244765757262979
"10","Meat..consumption.frequency.","Daily",12,12,0.0249377372746131
"11","Meat..consumption.frequency.","Never",42,21,0.0249377372746131
"12","Meat..consumption.frequency.","Rarely",27,39,0.0249377372746131
"13","Meat..consumption.frequency.","Several times weekly",30,42,0.0249377372746131
"14","Meat..consumption.frequency.","Weekly",72,75,0.0249377372746131
