,x
Functional.bowel.finding,1.1e-07
Specific.food.allergy,4.2e-02
Dietary.regime,6.0e-03
GI.symptoms.within.3.months..M3.,2.7e-14
Biological.sex,2.5e-07
GI.issues.this.week..M3.,2.2e-10
Non.celiac.gluten.sensitivity,7.6e-05
Lactose.intolerance,8.8e-03
Dietary.restrictions..M3.,1.3e-07
Dietary.supplement,1.2e-08
LR6.prediction..M3.,3.8e-15
LR10.prediction..M3.,1.2e-11
LR5.prediction..M3.,4.6e-16
Toilet.trained,1.0e-02
Other.symptoms.this.week..M3.,2.5e-02
Recent.anxiety..caretaker.reported.,7.5e-04
Toilet.cover..M3.,1.0e-03
Most.recent.GI.episode.symptoms..M3.,1.6e-04
