,fold1,fold2,fold3,fold4,fold5,fold6,fold7,means
fruit,18.6362012847411,10.4272504843843,15.2956090809035,16.0283192555567,12.7990013237541,14.7085827372453,18.5870026304547,15.2117095424342
probiotic,7.49469931743203,13.2062801101618,15.108370895103,14.6601558009118,11.4142466860525,12.2482157960505,15.0318391292587,12.7376868192815
vegetable,12.3481628198646,17.7833925927061,10.7996284033911,12.3290466529099,12.347862640104,8.01124257206141,6.58112424327586,11.4572085606161
vitamin_B,18.3442817366869,12.7569776661896,9.31665807693238,8.06946496860728,10.1186075048397,4.87391729362533,10.5783055872541,10.5797446905907
s__Bacteroides__thetaiotaomicron,7.3088506877821,8.91549165102219,9.55032707948896,10.0927998022722,10.4453022002283,10.5694524358192,10.4232490549453,9.61506755879403
g__Streptococcus,6.20134792901527,8.44324938591008,10.2554340535986,10.3010858988471,9.27351875628034,12.1129816244333,9.17540226657944,9.39471713066631
s__Blautia_A__wexlerae,6.55450332057482,7.06356504385672,9.48226953274754,8.43841836185844,9.02407585729205,9.85802466183639,9.45280510347497,8.55338026880584
dairy,5.38526149022443,7.45885274790974,7.57555659981428,7.81519987430433,8.50306833166024,6.86322151176346,8.83911279403541,7.49146762138741
stool_freq,5.5858549804542,8.0175209584014,7.12930936392792,5.43102591842817,5.97744109273271,8.82996160586068,9.44569510815158,7.20240128970809
vitamin_D,7.12797299998682,7.38339023892967,7.35397151015189,8.84595404271171,8.71828355215857,3.19787579087003,5.66707882081291,6.89921813651737
whole_grain,4.84899504026458,5.82459305342033,6.5615558941725,7.3725598913798,7.43245194010079,5.71796757912424,6.93978910474044,6.3854160718861
s__Dialister__invisus,6.43201019717024,5.87243317629374,6.54728331477195,6.22641795224106,5.13599564952621,5.65372393838688,6.7637218060199,6.09022657634428
fruit_freq,5.82073732330054,4.86363368336727,5.27139105403681,5.49509126769989,4.55482011056762,4.30355599333062,5.11340844828136,5.06037684008344
bread,3.99084733239431,6.15773005113455,4.59052051253448,4.31427136470417,4.80101110015808,6.39111387498763,4.326687218781,4.93888306495632
father_age,3.96298127293316,4.80955698004906,5.33766034458709,5.84220051195946,5.59826858322148,3.81897532160951,4.67388643391296,4.86336134975325
mother_age,5.04937055369876,4.01752793011679,4.71382292250389,4.75207534355548,4.792060279203,4.31585192787298,4.91271836585172,4.65048961754323
fermented_vegetables,3.54616864700541,2.85775507588824,5.03324015561399,4.55337388985374,4.32200337732284,4.11613496255979,4.85504043189445,4.18338807716263
meat,2.04992319695355,3.70504224219046,4.81286601461314,3.77302696102389,4.6118606842608,3.73742462996741,4.17410749463348,3.8377501748061
sugary_food,3.80040311946403,3.06682646585128,3.28575978842294,4.30903410621912,4.34888676218112,3.88439513097926,3.9040220442014,3.79990391675988
sweetened_drink,2.96820477866345,3.37579675629171,4.77237622764184,3.45563047507363,4.22549247971719,3.49408911739218,3.07237071337146,3.62342293545021
specific_food_allergy,5.45836061916369,2.42851721989178,4.08887918208664,3.16755164832064,3.50466574089101,2.93307809964834,3.38259220143306,3.56623495877645
nonceliac_sensitivity,4.94945031212582,1.55690356207136,3.93487651678499,4.58370061047044,4.88420109161373,2.76999544629296,2.1152957050508,3.54206046348716
starchy_food,3.52060560672653,2.13545985359549,3.89308911676361,3.843057549028,4.04651769877817,3.20731831528307,3.64250378806189,3.46979313260525
meal_home_prep,4.29829400897607,2.64904831093711,3.16766731693225,4.15559330335995,4.12662248043576,2.5656191351507,3.02557771871828,3.42691746778716
olive_oil,3.53603071857755,2.27746463272525,3.73353443075151,3.20945430141524,4.55848526309037,2.77289126504321,3.167144558082,3.3221435956693
