,fold1,fold2,fold3,fold4,fold5,fold6,fold7,means
s__Blautia_A__wexlerae,25.9662177365721,29.6030033702837,28.1962320981375,32.6085771351201,28.7463779916325,28.6685208094692,27.1773202678179,28.7094642012904
g__Streptococcus,20.9254233408064,21.925096092676,23.1881828669445,27.3834017024406,22.5851352359203,25.0811489256668,22.7726890432256,23.4087253153829
s__Bacteroides__thetaiotaomicron,19.5777577959489,23.9413919810404,22.0181927044952,24.3145518518105,21.4304486624578,20.8453965033737,23.7402068860818,22.2668494836012
g__Haemophilus_D,21.5709275192544,20.160009455345,22.0590469944661,21.5085433224889,23.6027315970815,19.2487342444452,21.2488358267207,21.3426898514003
g__Blautia_A,20.4236912611532,19.3174424843993,21.3245319764243,19.9521543739878,21.7251208087406,21.6196333577494,20.5513448206186,20.701988440439
g__Holdemania,13.3463811801319,14.4590665700469,15.4196927559266,17.0253953337533,16.3614958324924,13.5792894657364,15.6595711663566,15.121556043492
f__Anaerovoracaceae,12.8115571557921,17.7150369041642,15.2704160134489,12.501768921003,12.5862970498254,11.0674218159433,14.4935449886272,13.7780061212577
g__Blautia,13.7636420434933,8.67836298865551,14.4031321275394,10.6885115496598,13.7701996376391,11.2845283352383,11.0584999361412,11.9495538026238
s__PROV_t__186843,10.2315447233863,8.96444442644666,10.8045652521929,10.6216941119229,9.82646622999551,6.61822892465195,10.9998236811353,9.7238239071045
f__Lachnospiraceae,9.30407944741224,6.19931527172327,9.27730409435997,7.57923166641981,9.52870511414772,6.49373307645897,9.55078427145055,8.27616470599608
f__Oscillospiraceae,7.17605782185766,5.58423511623601,7.8630966200924,7.30420714076831,6.77415398299088,6.03484845939557,6.89544326702944,6.80457748691004
