,fold1,fold2,fold3,fold4,fold5,fold6,fold7,means
s__Blautia_A__wexlerae,2.13599474298649,2.75925526996455,3.04160287887622,2.83567073246271,3.76460704454916,8.23902077369512,3.23706302484276,3.71617349533957
g__Streptococcus,2.07153926560738,2.31312692675518,2.67528788317192,2.51732400684129,2.71745064065444,5.67271702898986,2.58019824202849,2.93537771343551
s__Romboutsia__timonensis,2.63632150973,2.81222965820083,2.52559354484072,3.01609056988538,2.55296164457947,3.80520707371305,2.68244934580821,2.86155047810824
g__Haemophilus_D,2.65255807852451,2.06088491628531,2.46039249971907,2.87536546888802,3.25375692098577,2.6284388459641,2.30698677292201,2.60548335761268
g__Blautia_A,2.4375163982887,2.97411035505247,2.01235033922456,2.21611817076434,2.40965969093087,3.42999075057852,2.29824297159685,2.53971266806233
s__Anaerostipes__hadrus,2.54940787895566,2.31898348359632,2.39141741373748,2.88688580213042,2.87589876239738,1.96478647100095,2.43098197639477,2.48833739831614
g__Faecalibacterium.2,2.70300958934934,2.10958457455437,2.70085281993671,2.30331939509264,2.75238325304715,1.88161506687173,2.81347131665095,2.46631943078613
s__Bacteroides__thetaiotaomicron,2.24844952625117,2.1697226945634,2.03936413788615,2.59223987263036,2.18007343704128,3.14740210980413,2.55899635887557,2.41946401957887
s__Fusicatenibacter__saccharivorans,2.08619968905635,2.75583190399108,2.86787557328673,2.28981600476478,2.71603103349939,2.03975728209289,2.0768470914172,2.40462265401549
g__Lachnospira,2.51446036541542,2.25949003331259,2.1657791127074,3.01861676312796,2.43062544687079,2.13858235599297,2.21289024735314,2.39149204639718
g__Flavonifractor,2.30287691369338,2.25605961999561,2.21572804545233,2.41494524065814,2.55103452032569,2.32198725265504,2.28629902430443,2.33556151672638
g__Ruminococcus_E,1.80296855345112,2.46918557454186,2.13346053771675,1.94752945119335,2.07890315219088,3.4168897008672,2.19679225244684,2.29224703177257
g__Faecalibacterium,2.68107100058811,2.10076584914224,2.11098592453585,2.22632641647871,2.52480265552568,1.90066058068935,2.48876049056228,2.29048184536032
s__Anaerostipes__hadrus.1,2.43804837901666,1.81018667263895,2.41327145976147,2.24044507094538,2.51949059841072,2.25935908723309,2.29335151150942,2.2820218256451
s__Eubacterium_E__hallii_A,1.89342706684774,2.0903030631344,2.23235839805161,2.19100009258118,2.33988475361812,2.67173462157969,2.2771705300445,2.24226836083675
s__Faecalicatena__torques,2.17670490780769,1.89188178679102,2.48970145790082,2.62262440935202,2.23537423559841,1.73000431399624,2.51773358283477,2.23771781346871
f__unclassified,1.76222417543252,2.35026161523584,2.75086823812829,2.27087212313889,2.37488090704624,1.97778505730487,2.1389747531863,2.23226669563899
s__Absiella__innocuum,2.57852065328022,2.0649658607516,2.15218578091449,1.72073799246147,1.93383803654493,2.56234790639183,2.47368695349887,2.21232616912049
s__Intestinibacter__bartlettii,2.0589734578166,2.28302014406777,2.40314159277441,2.56831516852797,2.13480117062771,2.31628199405751,1.69292126424272,2.20820782744496
g__Clostridium,2.0459441189481,2.24977872385258,2.45288889157142,2.52991136469489,1.95202875192793,2.06996303184995,2.10614402451197,2.20095127247955
s__PROV_t__114722,2.26431689756622,2.46238461164743,2.02826873453501,2.29831835365557,1.83462996234619,2.03565088847614,2.41211524635976,2.19081209922662
g__Collinsella,2.89315326028554,2.12198162328486,2.33243633376765,1.95448812006013,2.11588542491734,1.09959104300533,2.15833949551183,2.09655361440467
g__Escherichia,1.80927971837134,1.86495837788907,1.9964044412877,2.40635823965724,1.99601951504564,2.62003325585773,1.85107760997966,2.07773302258405
f__Lachnospiraceae.4,2.1238588516059,2.28181062861819,2.28735299285657,2.07899849778093,1.9161009750274,1.87251996796312,1.93848768546577,2.07130422847398
s__Dialister__invisus,1.71190479626186,1.88532837934744,2.10281056281844,2.32945615749327,2.28144072631357,1.76968238510157,2.34180965083526,2.06034752259592
g__Veillonella,1.99219316646053,2.06157905410186,2.23865550468093,1.63943465003844,2.03996389323394,2.00192638586085,2.35514457100489,2.04698531791163
s__Ruthenibacterium__lactatiformans,2.31887153901568,1.93280171262458,2.00981298582339,2.05127856127315,2.34413268578008,1.41983643735914,2.20685356481826,2.04051249809918
s__PROV_t__167149,2.30825547104648,1.8567598778714,2.36494819760449,2.1406924642832,1.87410529047077,1.46431717867646,2.25504314881804,2.03773166125298
s__PROV_t__246232,1.69208004230806,1.58732981483746,2.34816379962917,2.09625353351158,1.82795090392849,2.0618731197972,2.48735827759739,2.01442992737277
s__Parasutterella__excrementihominis,2.10617458940988,1.94408275766042,2.11948262322218,2.08544801185279,1.91925568297007,2.03298734244369,1.80557947557721,2.00185864044804
f__unclassified.13,1.98044241003094,1.67328898846346,1.87100942765259,2.31487115305929,2.19472066792931,1.71824614147347,2.25640042181469,2.00128274434625
f__Anaerovoracaceae,1.55021069260474,2.38677354646414,2.35648227769078,1.65848857928967,1.60770901412265,2.22928374063372,1.95637574789144,1.96361765695674
g__Clostridium_M,1.72786055277474,1.82735410833129,2.16173930236077,1.92283148021165,1.94605245741531,2.05107121795174,2.01581849601428,1.95038965929425
s__Dorea__formicigenerans,2.07263688613535,1.79611177827366,2.1201093059128,2.10916201830984,1.72738581931784,1.57052278093477,1.71296231105974,1.872698699992
f__Peptostreptococcaceae,1.91727168442142,2.07994169700032,2.28586429283969,1.69138565768535,1.81573951324247,1.31389796633007,1.93657012879663,1.86295299147371
g__Turicibacter,1.85444698448185,1.97152310299761,2.04841662253542,1.84335030464985,2.06330413241921,1.69863030713812,1.54616702340428,1.86083406823233
f__Lachnospiraceae.5,1.49722294438576,1.37747122301752,2.02538548515307,1.66275852434488,2.12351706544538,2.9158034126838,1.39246317169702,1.85637454667535
f__Lachnospiraceae.1,2.02290704656055,1.97466527641004,1.67514275904029,1.69133514697428,1.9079571947337,1.6230290410618,1.94688051820345,1.83455956899773
s__Clostridium_Q__symbiosum,1.88840109603478,1.63688656374547,2.05029997410256,1.85926638968445,2.2592374146524,1.21173753410113,1.90954884843248,1.83076826010761
s__PROV_t__209626,1.72837299724211,1.71792345394158,1.66672864672598,1.60593337648341,1.99412782567629,1.65522047466344,2.20600727091912,1.79633057795027
s__PROV_t__258798,1.88125188655438,1.60212719633727,1.68715419362623,1.2139355307678,1.61185638111768,2.73577411793047,1.78831511734325,1.78863063195387
g__Holdemania,1.57988390395204,1.73887538362403,1.82723461753435,2.13311785302676,2.14657380129581,1.46468455638404,1.57966638234591,1.78143378545185
s__Alistipes__onderdonkii,1.472355798826,1.58853124250504,2.03838314670818,1.92215750697226,1.95741718725768,1.65371253142494,1.75287500058408,1.76934748775403
s__PROV_t__123373,1.82398136680599,1.45512646950418,1.65705395092263,1.83385582767654,1.80785294614214,1.79334567366849,2.00235358417489,1.76765283127069
s__Dorea__scindens,1.66536806136597,1.87045139198164,1.71582888405004,2.14727131669573,1.81430155330942,1.04887041654892,2.04153220061042,1.75766054636602
g__Gemella,1.60670289571046,1.9497564708581,1.83743146627585,1.42430581926009,1.57564502972848,2.1009930392435,1.7584663378991,1.75047157985365
s__Bacteroides__ovatus,1.31234073150175,1.73429515565537,2.09064946824586,1.89986136832928,2.10411390454728,1.168546369735,1.83953972500808,1.7356209604318
g__Bacteroides,1.80574430561026,2.2252613244029,1.71332046188195,1.76942355446183,1.48558116965003,1.34887796223102,1.70182835114554,1.72143387562622
s__Clostridium_M__asparagiforme,1.63743242963693,1.55489332218219,1.78898779058892,1.46867068738992,1.82410442293329,1.5555947033706,2.20071412795873,1.71862821200865
f__Lachnospiraceae,1.41360413576173,1.6799331643422,1.61020727037615,1.66106486382618,1.65473187038891,1.86674941554651,1.96195524163049,1.69260656598174
s__Eggerthella__lenta,1.68805373060764,1.76342817932304,1.67919454433817,1.40274772062254,2.12911088228279,1.20909059425354,1.9465389101472,1.68830922308213
s__Alistipes__putredinis,1.65082585354467,1.56129321305071,1.89583966713874,1.83477700926487,1.75692795412782,1.1259592989096,1.7617252540928,1.65533546430417
f__Lachnospiraceae.2,1.06772920638411,1.66279385278986,2.09858816510193,1.72309397061992,1.93565993655902,1.12301916787933,1.88400425493666,1.6421269363244
f__Acutalibacteraceae.1,1.40283086076986,1.47731588644262,1.563979954853,1.20752005451819,1.61011380848649,3.07993358303478,1.06101223738431,1.62895805506989
g__Blautia,1.41624152899458,1.85793354200846,1.6560005798355,1.88563777898816,1.75924032271679,1.01968026716371,1.61454755084326,1.60132593865006
f__Lachnospiraceae.9,1.41955827690418,1.4417978107989,1.65676951513663,2.01733884055842,1.42777245992508,1.16917244873039,1.87653795462926,1.57270675809755
s__Erysipelatoclostridium__spiroforme,1.55799198311581,1.21813715077029,1.69546386246812,1.5081806643213,2.05546828662423,1.16804328614509,1.62522228982157,1.54692964618092
s__Tyzzerella__nexilis,1.62690703333167,1.56176554419336,1.3012991673243,1.39037996609531,1.79461661149796,1.28168193098745,1.82687059786265,1.5405029787561
s__Hungatella__effluvii,1.4366226717271,1.65125592412767,1.72390326118728,1.63664849275933,1.79978953503012,1.12484772286721,1.35102843233333,1.53201372000458
s__Eisenbergiella__massiliensis,1.72866891083004,1.29460307628003,1.74254301869149,1.74869030032172,1.77537330404415,0.767276072876409,1.56226898874562,1.51706052454135
s__Coprococcus_A__catus,1.3382426359536,1.03486535149634,1.33861841264064,1.91288776281339,1.72018072551382,2.10544781201346,1.14755684282781,1.51397136332272
s__Bacteroides__ovatus.1,1.67103558901153,1.13264753927774,1.93373781174264,1.8592901395032,1.80310244456313,0.943650209935546,1.23525102284407,1.51124496526826
s__Neobitarella__massiliensis,0.9784738978719,1.44144875351723,1.33000225848426,1.47727841558451,1.13618786731037,2.08414411148766,2.07460311016697,1.50316263063185
g__Faecalicatena,1.36354672109541,1.50893066560851,1.82475377426167,1.42024886217727,1.51589661879873,1.03265469551978,1.76169568532953,1.48967528897013
s__Anaerostipes__hadrus.2,1.50035456401753,1.12682609123296,1.73383174365505,1.66293048893525,1.23738155474039,1.77861738565287,1.26282633540691,1.47182402337728
s__Intestinimonas__butyriciproducens,1.3553762601262,1.95875748427667,1.42381839843171,1.21248326405602,1.26018698710869,1.62541977564358,1.22684104490191,1.43755474493497
s__Eisenbergiella__tayi,1.26125117406807,1.4136472603025,1.61451895805131,1.62777676066492,1.5715423742424,0.748550354677197,1.79802049174516,1.43361533910736
s__PROV_t__256791,1.29764709039785,1.25673149578471,1.63440189945484,1.46716632453187,1.62915081080822,1.13306510709567,1.56648351998161,1.42637803543639
f__Oscillospiraceae.2,1.18668806547617,1.54433926164165,1.32900360402109,1.91993767571719,1.72902041047472,1.06491233587067,0.934116942839438,1.38685975657728
f__unclassified.14,1.41026471132738,1.36205923733654,1.62045696371627,1.78041882813581,1.54157683504964,0.486624812190922,1.45804856375442,1.37992142164443
s__Faecalicatena__faecis,1.70257353787546,1.33030026791964,1.22395541474144,1.29567131641939,1.49745770420434,1.39320320152448,1.04967989465017,1.35612019104784
