,fold1,fold2,fold3,fold4,fold5,fold6,fold7,means
s__Blautia_A__wexlerae.3,2.3773470398156,0.627674329824158,4.21181048963111,0.553669527222167,5.15503411180405,4.38280254381534,3.78081859415247,3.01273666232356
g__Haemophilus_D,2.41026706435693,0.441480226286135,2.58060763322525,0.562488659127742,2.67496473332084,1.68949898358309,1.00031440837005,1.62280310118143
g__Streptococcus.7,1.45530796096661,0.544335245475899,1.70828812013951,0.769235131512701,1.64610852001202,2.8892870042464,1.66590800983357,1.52549571316953
g__Bifidobacterium.2,1.05108766543793,0.536780772207901,1.71336182397004,0.43764085613946,1.38744771480771,2.7391923398236,1.41273449392157,1.32546366661546
g__Pauljensenia,1.66705843337189,0.411120329251688,0.687301085164241,0.429410167842659,3.35656340303772,1.09824409945869,0.804810163933223,1.20778681172287
g__Veillonella.1,0.650472705119812,0.104313597875239,3.04260905197117,0.206569197117923,1.75347054935366,1.57527565270684,0.91781842959601,1.17864702624867
f__Anaerovoracaceae.9,1.58229195958916,0.23247634300581,2.78014774435339,0.271323693604339,1.29356666002631,0.883782050681047,1.01462617753731,1.15117351839963
f__unclassified.23,1.03969105467519,0.559891298137039,0.47462672358372,0.476857849517289,3.07435919945469,0.808205223074103,1.55038373096411,1.1405735827723
s__Anaerostipes__hadrus.2,1.60194432313117,0.380820471856149,1.93288517025893,0.549022426414642,1.44459515480676,0.687848405990412,1.1233254715673,1.10292020343219
f__Oscillospiraceae.15,1.04908993838111,0.368101724500252,1.42242617067182,0.526716886534171,0.675577496375261,0.821766634711916,2.64293546358295,1.07237347353678
s__Romboutsia__timonensis,0.556296631562261,0.287559015589086,1.73626533301919,0.396578293542317,1.44749382907437,1.26893618710316,1.46367270733144,1.0224002853174
s__Fusicatenibacter__saccharivorans.1,0.869033707075021,0.935794237947406,2.01639352844911,0.314608655141332,1.07135351554715,0.775698436826463,1.08881311917587,1.01024217145176
s__Bacteroides__thetaiotaomicron,1.00903018929516,0.502006709953073,0.842163712352604,0.345607187751426,0.967769329160036,0.74747963311179,1.98827309815366,0.914618551396821
g__Faecalibacterium.3,1.25978022042,0.34569801861419,0.808311894028365,0.638627942689808,0.888602003470876,1.05110738875272,1.23087534130157,0.889000401325362
s__PROV_t__220541,0.751942205575784,0.387690202672782,1.33545648215312,0.408109696910598,1.54563714188408,1.21107405857332,0.548706851069777,0.88408809126278
g__Veillonella.3,1.33873381594558,0.443444476338759,0.725448061974741,0.320208547562858,1.15450378029124,0.497767909537379,1.4752306225865,0.850762459176721
g__Lactococcus,0.954228359434434,0.319673931284499,1.73465950189411,0.268838807279382,1.5035691614575,0.136716560978911,1.01015394469669,0.84683432386079
s__Absiella__innocuum,0.696635636810938,0.272079543621224,1.72172787103158,0.308233635580313,1.09072218897103,0.917627627511606,0.817170780955963,0.832028183497521
g__Roseburia,0.790155181738623,0.182837350033977,1.40300696471704,0.544436268497303,1.56100129357563,0.305423331785291,1.00281808032255,0.827096924381488
f__Acutalibacteraceae.17,0.38112662918041,0.2844295707717,0.897796236196924,0.37327860943722,1.43412591658955,1.3208169656055,1.01134927230845,0.814703314298537
s__Dialister__invisus,0.518533306162342,0.44933457284509,1.00263041050789,0.469887967457605,0.683550128292755,0.581473901549194,1.87181680590903,0.796746727531987
g__Escherichia,0.771271967280991,0.309265511195809,0.831999980379642,0.229307580378167,1.38262778437883,1.08299389182325,0.922675335753579,0.790020293027181
g__Bacteroides.2,0.405674620106857,0.445546195910233,0.979775806690733,0.271409487931773,1.14150771158055,0.981686617692191,1.24226780318347,0.781124034727971
s__PROV_t__254045,0.318608282128162,0.332633493236937,0.564788140244936,0.30854668495693,0.889784138666612,0.611540489615094,2.36789632988759,0.770542508390894
f__Acutalibacteraceae.6,1.15434428955679,0.204182590434546,1.19377333233616,0.4547972462601,0.618367527991574,0.443472413988747,1.14044696443737,0.744197766429326
s__PROV_t__186117,1.49903378182547,0.276204743342421,0.507139081471964,0.237143147291519,0.779577568877395,1.16296243538704,0.731736424963891,0.741971026165673
s__Eubacterium_E__hallii_A,1.06678185622665,0.391666388237751,0.613247483403103,0.355484014725265,1.28641835521596,0.761657910879699,0.716791256312322,0.74172103785725
s__PROV_t__172009,1.14775176148732,0.250230744367163,0.747175568563693,0.0392074716879885,1.63094691241663,1.16133873945412,0.161099389414378,0.733964369627326
s__Gemmiger__formicilis,0.523545036752624,0.30772953287055,1.20509504038118,0.430966508495608,1.00208225996964,0.56042887068145,0.918413912592733,0.706894451677683
g__Blautia_A,0.771977402174257,0.297416340844231,0.81778113850897,0.365779111781128,1.05321296443027,0.795483740776461,0.787405295133005,0.698436570521189
s__PROV_t__258798,1.07032537354898,0.286015223218165,0.559308975211471,0.271279889740454,0.510750263934069,1.18028008220076,0.991194148720037,0.695593422367705
s__Streptococcus__mutans,1.14352609197801,0.224588957418649,0.896246436888987,0.427748838347121,0.836514792299686,1.00185758508419,0.330404297473482,0.694412428498589
f__Lachnospiraceae.47,0.452658861673554,0.397198833160512,1.0188268391531,0.256194811891959,0.706548797943494,1.13560157945804,0.887174365879196,0.693457727022836
g__Faecalibacterium,0.932397736170009,0.194155152672495,0.961742181676125,0.298406477302995,0.907682771120583,0.609148208616094,0.909795175373754,0.687618243276008
g__Holdemania,0.389554411205782,0.322283172999795,1.02306679894571,0.698277093435645,0.743656930599821,0.746667643533781,0.871698822213584,0.685029267562016
g__Streptococcus.1,0.897521271256823,0.597041585889921,0.914543342194384,0.451065885539563,0.568935366926169,0.891040760814745,0.445718200088138,0.680838058958535
g__Lachnospira,1.07184570398044,0.367035449153923,0.390120484118544,0.205504397501727,0.861065394347782,0.871706886445109,0.986773046200574,0.679150194535443
s__Roseburia__intestinalis,0.284547253699884,0.498754583698598,0.575587051337385,0.346992876087735,1.17047157822293,1.45064215149581,0.333398630079125,0.665770589231638
f__Lachnospiraceae.98,1.19343495424756,0.492552652580264,0.862366547374672,0.290351506414455,0.34367113461565,0.31460010084443,1.15316785178117,0.664306392551171
s__Agathobacter__rectale,0.512733045601645,0.365559105119336,0.572527481405973,0.520433319911808,1.09727567087892,0.715489702782892,0.825719631000949,0.658533993814504
g__Collinsella.1,0.8877899178518,0.233428557124677,0.82508092725269,0.542743917555631,0.540833232700826,0.143372868904035,1.42576107220723,0.65700149908527
f__Lachnospiraceae.36,0.714826641906341,0.148135210857497,0.823936254332342,0.142027434875274,0.692552842490044,0.932564198784381,1.13649970512199,0.655791755481124
f__Lachnospiraceae.10,0.552034733922354,0.307036787177207,0.717531823338204,0.402833829537532,0.793548417050672,0.461879163545928,1.28706972812457,0.645990640385209
g__Ruminococcus_A,0.776669416524241,0.217603780003345,0.442115852072324,0.309564627931049,0.387155029809651,1.34842538930742,1.03749535849609,0.645575636306303
s__Intestinibacter__bartlettii,0.671747565283595,0.201924732005819,0.856936561125801,0.56426140017806,0.56050059808954,0.67529614794491,0.701519648109119,0.60459809324812
s__Faecalicatena__faecis,1.02789418747513,0.312297634481064,0.650069881650751,0.202750688390831,0.661502215487891,0.78965077177062,0.583106695997154,0.603896010750491
f__Lachnospiraceae.66,1.03866554027582,0.386827104578626,0.648787290161385,0.43427175453202,1.13842846469574,0.214083184327749,0.358980820460755,0.602863451290299
g__Bifidobacterium.3,0.486412636981373,0.305826846105803,0.562151198988796,0.409015325556044,0.847759421159171,0.755425568044276,0.851261577162163,0.602550367713947
s__Roseburia__inulinivorans,0.95835395728945,0.433876124152248,0.577117697374606,0.258679742715078,0.897548330673243,0.499325288395139,0.576039486366674,0.60013437528092
s__Anaerostipes__hadrus.3,0.905560079147952,0.424594257591479,0.41891591275598,0.442429621188615,0.37813016617146,0.837487968985654,0.787153789661915,0.599181685071865
f__Lachnospiraceae.21,1.33434248416625,0.316720562796557,0.564059368721788,0.412166796071627,0.687055182629089,0.41728132545613,0.455513313409443,0.59816271903584
