,fold1,fold2,fold3,fold4,fold5,fold6,fold7,means
s__Fusicatenibacter__saccharivorans,7.0069148713674,5.40931092640247,5.63921169977148,8.84844195600798,5.74001323093778,6.30043293838788,7.75411013459723,6.67120510821032
g__Clostridium,7.68554338691011,3.89824900765784,4.83104619989,7.77514962828279,5.16636435883554,7.319663152391,8.33226323976018,6.42975413910392
s__Intestinibacter__bartlettii,6.0991616962224,4.97157265008852,5.52589248540031,7.28200865810469,4.66585651873052,8.80142633677483,7.40785511408454,6.39339620848654
g__Ruminococcus_E,6.55434705305307,5.46555464058686,4.86653912448292,7.099505523507,5.50403524893002,6.91042515111304,7.41697532577162,6.25962600963493
g__Flavonifractor,7.05117092555817,4.70186202426415,4.61697687213111,6.81830700891027,5.71567699214145,6.97141000919565,6.35525761886028,6.03295163586587
s__PROV_t__167149,5.40745625483112,5.56685975364842,4.48992034319014,7.67020495142194,5.09901878249178,4.7225127216497,6.84805595487688,5.68628982315857
s__Ruthenibacterium__lactatiformans,5.96234035192625,4.89508382624435,5.09381492090685,6.94995388052733,4.32913207953729,5.77400839584652,5.44798216799114,5.49318794613996
s__Bacteroides__ovatus,5.99298348584612,4.09557178707343,4.31097583904433,5.8687561620092,4.3794961174328,4.63301044810567,6.66415851778382,5.13499319389934
g__Holdemania,5.68940503673061,3.75525664967603,4.6232125795217,5.77559607856222,4.2514418626729,4.83036386536951,6.40091126459439,5.04659819101819
s__PROV_t__258798,7.13022730988813,3.32999154801875,4.39520505200155,4.40294125349019,3.45262863813193,5.96910466131678,6.63007784139363,5.04431090060585
g__Turicibacter,5.73443868228229,4.38669048051732,4.19877948086325,5.67271312716677,4.83014831283268,5.23787023432828,4.55243714943883,4.94472535248992
f__Peptostreptococcaceae,4.94099728554151,4.52711818330052,5.25157098572188,5.24781167580411,4.91102532008608,4.34223984051207,4.41472499971877,4.80506975581213
s__Dorea__scindens,5.00708748637939,3.92234624949808,4.38694038728918,4.48412252313393,4.3551089132904,3.98676458252738,4.3355035585294,4.3539819572354
s__PROV_t__123373,4.50119345437697,3.80717288535925,4.03783627475965,4.01179527367241,3.866447643,5.07517045981445,4.40243882881473,4.24315068854249
g__Faecalicatena,4.11608873923915,3.91459391083042,4.26199690052786,5.26712788427789,4.42811868897957,3.61229959439407,3.66749889822572,4.18110351663924
f__Acutalibacteraceae.1,4.87402212052444,3.52804013146569,3.9102682869365,3.63898355608941,3.31908005506339,4.680014113066,4.19197436640205,4.02034037564964
s__Streptococcus__mutans,3.92341277466243,2.85234222783885,3.14802551102607,5.71079757384543,2.74573668592524,4.96593998896059,4.66510965369622,4.00162348799355
f__Lachnospiraceae.3,4.40075411381585,3.03755610250669,3.69939284527916,4.72055822812791,3.69996326962571,3.00700879745228,5.17657977619853,3.96311616185802
g__Anaerostipes,4.42665222982881,3.11312441512661,3.40369667945798,4.65174552563546,3.99733070218663,3.36536384877011,4.34471135207642,3.900374964726
s__Bacteroides_B__massiliensis,2.85139775690103,2.78646894277411,2.88649571666579,3.80682292935893,3.70701769804876,3.92900928889778,6.38050084960862,3.76395902603643
s__Anaerotruncus__colihominis,3.56786022909537,3.22626278152384,3.47210841352478,4.10917336379894,2.74640332536133,4.16037226975937,2.81852760007818,3.44295828330597
f__Lachnospiraceae.5,3.48360418800503,2.63089520547111,2.89778092878663,3.96214363559466,2.60570074346262,3.8019671581143,3.104832278508,3.21241773399176
g__Lactobacillus_F,3.19109629900459,2.25923776218563,2.26309305982677,3.91268527921096,1.70212887382724,3.47590507776629,5.46332825983144,3.1810678016647
s__Anaerofustis__stercorihominis,2.78245187061261,3.49004424875498,3.34453742116925,3.53182197311936,2.84137994565027,3.08147450790646,2.20798491556267,3.03995641182508
f__Lachnospiraceae,3.43463968533693,2.74266760044166,3.09871807431506,2.84283542515893,3.43012797006876,2.57591135177794,2.22800120975867,2.90755733097971
s__Bacteroides__ovatus.1,2.74441833869613,2.44849722704852,3.36412226464211,2.75548103206081,2.6292841972696,2.71460508284372,2.73782633669845,2.77060492560848
g__Erysipelatoclostridium,2.91491517762761,2.47568544424416,2.79720267164214,2.76140900015558,2.99803982915373,2.34704958854678,2.90793202123589,2.74317624751513
s__Bittarella__massiliensis,2.06084739698736,3.0335345420668,2.56892571840821,2.66994082032578,2.86705896716893,2.67910996347281,2.14788361282782,2.57532871732253
g__Faecalibacterium,2.18844667302992,1.17232920651545,1.56996855572801,2.96585639965412,1.68532679990093,3.2938037002655,5.0123069934056,2.5554340469285
f__Lachnospiraceae.1,2.39251296428329,1.28290821291935,1.94011005027706,3.510441015407,1.9201299215403,2.9755943793084,3.29486945775942,2.47379514307069
s__Phascolarctobacterium_A__succinatutens,3.78337857598342,1.45473638251702,2.06913035442194,2.68807979722769,1.93944252178374,0.937727208701016,4.08153426758548,2.42200415831719
f__unclassified.11,1.52605915851064,2.12947294790841,2.71208039335398,2.1930592695312,2.11705941879299,2.451976868376,1.36606447051439,2.07082464671251
f__unclassified.9,1.85497706010105,1.7381475018065,1.35584589515271,1.83890342625062,1.86357572833921,1.81408533392948,3.51816257996073,1.99767107507719
f__Lachnospiraceae.2,1.45259029081238,1.93400847312575,2.22796326326889,1.96505168813514,2.32621116338646,1.61223231622326,2.14851007739994,1.95236675319312
f__unclassified.6,2.01424021484619,1.98406372883151,2.31083712522497,2.23713993386242,1.73705183566454,1.63280973135306,1.41667663646564,1.90468845803548
s__PROV_t__160951,1.45197372383727,1.66795884327758,1.70596843018844,3.13917486553236,1.5036570536271,2.12707536118178,1.15400368883112,1.82140170949652
g__Corynebacterium,1.4730882047512,1.88549093379415,1.85665128181835,2.02120285066715,2.07026633681388,1.58095606189242,1.66796421974607,1.79365998421189
f__Anaerovoracaceae,1.69275628061136,2.00141842233201,1.93545583211717,1.8034397742847,2.06570997446541,1.13334730614428,1.47211898640788,1.72917808233754
s__PROV_t__221653,2.72595812553864,1.06900053610876,1.62288912216608,1.91118061182106,1.39359514375762,1.92998124031028,1.2229258523385,1.69650437600585
f__Oscillospiraceae,1.634153367734,1.68047890468259,1.86510782869277,2.02923720594084,1.72036309044194,1.46213562811186,1.13930225740004,1.64725404042915
f__unclassified.7,2.7777279626425,1.8120294294815,1.63782209208436,1.38645426687008,1.50780879299297,0.583893750242328,1.58817153926668,1.6134154047972
