"Variable","FactorClass","TotalN","R2","pvalue"
"Most.recent.GI.episode.symptoms..M3.","categorical",120,0.424646432726007,0.001
"Toilet.cover..M3.","categorical",215,0.0306063148768169,0.001
"Functional.bowel.finding","categorical",375,0.0162420892081807,0.001
"Age..months.","numeric",378,0.0156718024872079,0.001
"Age..years.","numeric",378,0.0147051786840858,0.001
"Seafood..consumption.frequency.","categorical",375,0.0128189039378046,0.001
"Fruit..consumption.frequency...longitudinal.","numeric",363,0.011782597647227,0.001
"GI.symptoms.within.3.months..M3.","categorical",378,0.0097336023024447,0.001
"Vegetable..consumption.frequency.","categorical",378,0.00962137291112335,0.001
"Biological.sex","categorical",378,0.00898761602858664,0.001
"Dietary.restrictions..M3.","categorical",378,0.00845790500144677,0.002
"Other.symptoms.this.week..M3.","categorical",378,0.00834404675221071,0.001
"Recent.anxiety..caretaker.reported.","categorical",363,0.00824956982001172,0.017
"Dietary.supplement","categorical",318,0.00799913517798605,0.001
"Lactose.intolerance","categorical",378,0.00769244999358318,0.003
"Toilet.trained","categorical",363,0.00742309951509965,0.001
"GI.issues.this.week..M3.","categorical",378,0.00713975419086935,0.001
"Dairy..consumption.frequency...longitudinal.","numeric",363,0.00704063256816873,0.002
"Vegetable..consumption.frequency...longitudinal.","numeric",363,0.00623585688292248,0.006
