"","Var","p.value","Type"
"1","Recent.anxiety..caretaker.reported.",8.36327659917923e-05,"wilcox"
"2","Starchy.food..consumption.frequency...longitudinal.",0.000352909221066023,"wilcox"
"3","Dairy..consumption.frequency...longitudinal.",6.19020130585809e-08,"wilcox"
"4","Vegetable..consumption.frequency...longitudinal.",2.16320077591744e-05,"wilcox"
"5","Fruit..consumption.frequency...longitudinal.",0.00380646840969994,"wilcox"
"6","Whole.grain..consumption.frequency.",0.00172022603876592,"wilcox"
"7","Dairy..consumption.frequency.",0.00138107338493424,"wilcox"
"8","Fruit..consumption.frequency.",0.00064462669084641,"wilcox"
"9","Vegetable..consumption.frequency.",0.00649664273184382,"wilcox"
"10","Probiotic..consumption.frequency.",9.11659596822359e-06,"wilcox"
"11","Vitamin.B.complex.supplement..consumption.frequency.",0.00134563241514418,"wilcox"
"12","Vitamin.D..consumption.frequency.",0.000953695482465969,"wilcox"
