"","A","N"
"Asian race",10.4477611940298,10.4477611940298
"Asian race & Middle Eastern race",1.49253731343284,1.49253731343284
"Asian race & Unknown racial group",1.49253731343284,1.49253731343284
"Caucasian",65.6716417910448,65.6716417910448
"Caucasian & Hispanic",2.98507462686567,2.98507462686567
"Caucasian & Indian (subcontinent) race",1.49253731343284,1.49253731343284
"Hispanic",5.97014925373134,5.97014925373134
"Hispanic & African race",1.49253731343284,1.49253731343284
"Indian (subcontinent) race",1.49253731343284,1.49253731343284
"Indian race",2.98507462686567,2.98507462686567
"Unknown racial group",4.47761194029851,4.47761194029851
