varname 16S V4,demographics,diet,permanova,confounder
Acetyl.l.carnatine,FALSE,FALSE,FALSE,FALSE
Acetyl.L.carnitine,FALSE,FALSE,FALSE,FALSE
Acyclovir,FALSE,FALSE,FALSE,FALSE
Additional.info.affecting.microbiome..M3.,FALSE,FALSE,FALSE,FALSE
ADHD.inattentive.subtype,FALSE,FALSE,FALSE,FALSE
Adora.calcium.supplement,FALSE,TRUE,FALSE,FALSE
Age..months.,TRUE,FALSE,Continuous,Continuous
Age..years.,TRUE,FALSE,Continuous,Continuous
Albizia.supplement,FALSE,TRUE,FALSE,FALSE
Albuterol,FALSE,FALSE,FALSE,FALSE
Aloe.vera.supplement,FALSE,TRUE,FALSE,FALSE
Alpha.lipoic.acid.supplement,FALSE,TRUE,FALSE,FALSE
Amino.acid.formula,FALSE,FALSE,FALSE,FALSE
Amoxicillin,FALSE,FALSE,FALSE,FALSE
Amoxicillin.Clavulanate,FALSE,FALSE,FALSE,FALSE
Annual.household.income,FALSE,FALSE,Categorical,Categorical
Anti.infective,FALSE,FALSE,Categorical,Categorical
Anxiety.disorder,FALSE,FALSE,FALSE,FALSE
Aphasia,FALSE,FALSE,FALSE,FALSE
Apraxia,FALSE,FALSE,FALSE,FALSE
Ascorbic.acid,FALSE,TRUE,FALSE,FALSE
Ashwaghanda,FALSE,FALSE,FALSE,FALSE
Asthma,FALSE,FALSE,FALSE,FALSE
Attention.deficit.hyperactivity.disorder,FALSE,FALSE,FALSE,FALSE
Augmentin,FALSE,FALSE,FALSE,FALSE
Autism.spectrum.disorder,FALSE,FALSE,FALSE,FALSE
Avoidant.restrictive.food.intake.disorder,FALSE,TRUE,FALSE,FALSE
Azithromycin,FALSE,FALSE,FALSE,FALSE
Banaril,FALSE,FALSE,FALSE,FALSE
Behavior.video.submitted..M3.,FALSE,FALSE,FALSE,FALSE
Benign.epilepsy.with.centrotemporal.spikes,FALSE,FALSE,FALSE,FALSE
Biocidin,FALSE,TRUE,FALSE,FALSE
Biological.sex,TRUE,FALSE,Categorical,Categorical
Bioray.Liver.Life.supplement,FALSE,TRUE,FALSE,FALSE
Bioray.Loving.Energy.supplement,FALSE,TRUE,FALSE,FALSE
Bioray.NDF.Plus.supplement,FALSE,TRUE,FALSE,FALSE
Biospecimen.Barcode,FALSE,FALSE,FALSE,FALSE
Biospecimen.Date.Collected,FALSE,FALSE,FALSE,FALSE
Biospecimen.Description,FALSE,FALSE,FALSE,FALSE
Biospecimen.ID,FALSE,FALSE,FALSE,FALSE
Biospecimen.mass,FALSE,FALSE,FALSE,FALSE
Biospecimen.mass.unit,FALSE,FALSE,FALSE,FALSE
Biospecimen.Name,FALSE,FALSE,FALSE,FALSE
Biospecimen.type,FALSE,FALSE,FALSE,FALSE
Biotin,FALSE,TRUE,FALSE,FALSE
Born.by.caesarian.section,FALSE,FALSE,Categorical,Categorical
Born.prematurely,FALSE,FALSE,Categorical,Categorical
Bread..consumption.frequency...longitudinal.,FALSE,TRUE,Categorical,Categorical
Broccoli.extract.supplement,FALSE,TRUE,FALSE,FALSE
